Sprint,Duration,Sprint Theme,Sprint Goal,Sprint Exit Criteria,Task ID,Workstream,Epic,Task,Deliverable,Acceptance Criteria,Dependencies,Owner Role,Estimate (SP),Priority,Status
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-07,Mobile,Demo wallet,"Build wallet summary, ledger, deposit/withdraw simulation, and explicit Demo labeling.",Wallet screens,Simulated actions update backend balances and never request payment details.,S8-02,Mobile Engineer,8,High,Not Started
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-08,QA,Transaction tests,"Test duplicate submission, insufficient funds, stale odds, transaction rollback, and ledger reconciliation.",Placement test suite,Ticket totals reconcile to ledger and wallet before/after balances in all cases.,"S8-03,S8-07",QA Engineer,8,Critical,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-01,Backend,Live simulator,"Create deterministic event clock, score, period, incident, price-movement, and suspension simulator.",Simulation engine,Scenario seeds replay predictably and can be accelerated in development.,"S6-01,S6-02",Backend Engineer,13,Critical,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-02,Backend,Realtime gateway,"Publish authenticated Socket.IO channels for events, scores, markets, notifications, and wallet updates.",WebSocket API,"Subscriptions are scoped, versioned, rate-limited, and reconnectable.","S9-01,S3-03",Backend Engineer,8,Critical,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-03,Backend,Admin controls,"Add protected demo endpoints to start, pause, score, suspend, price, and complete an event.",Simulator controls,Authorized developers can drive every live state without editing the database.,S9-01,Backend Engineer,5,High,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-04,Mobile,Live lobby,"Build live sport filters, scoreboards, clocks, incidents, and live market rows.",Live screen,"Updates animate without losing scroll, expanded sections, or selections.","S9-02,S5-05",Mobile Engineer,8,Critical,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-05,Mobile,Realtime prices,"Display up/down changes, lock/suspend states, and changed-slip warnings.",Live odds behavior,Visual transitions are accessible and agree with current server versions.,"S9-02,S7-07",Mobile Engineer,8,Critical,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-06,Mobile,Connectivity,"Implement reconnect, background/foreground recovery, stale-state banner, and HTTP snapshot resync.",Realtime recovery,App returns to current state after network loss without duplicate subscriptions.,S9-02,Mobile Engineer,5,Critical,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-07,Performance,Realtime load,"Bound event update frequency, batch UI updates, and test concurrent simulated clients.",Realtime performance report,"API and app meet defined CPU, memory, latency, and frame-rate budgets.","S9-02,S9-05",Performance Engineer,5,High,Not Started
Sprint 9,2 weeks,Live betting and real-time simulation,"Provide realistic live scores, clocks, event states, and price movements through backend WebSockets.","Live events update without refresh, odds visually move and suspend, disconnected clients recover, and ticket validation uses current server prices.",S9-08,QA,Live tests,"Test reconnect, out-of-order updates, suspensions, clock drift, bet race conditions, and parity.",Live acceptance suite,Critical real-time scenarios pass consistently on Android and iOS.,"S9-03,S9-06",QA Engineer,8,Critical,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-01,Backend,Ticket queries,"Implement Open, Settled, Won, Lost, Void, Cashed Out, Saved, and All queries with pagination.",My Bets API,"Filtering, sorting, and summaries are stable for large histories.",S8-03,Backend Engineer,8,Critical,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-02,Backend,Settlement,"Settle outcomes and tickets, calculate void/partial states, and atomically credit winnings.",Settlement engine,Repeated settlement is idempotent and ledger reconciliation remains exact.,"S8-01,S9-03",Backend Engineer,13,Critical,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-03,Backend,Cash-out,Calculate and accept deterministic simulated cash-out offers with transaction protection.,Cash-out API,Expired or changed offers cannot be accepted and successful offers settle once.,S10-02,Backend Engineer,8,High,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-04,Backend,Ticket lookup,"Expose code-based lookup, ticket information, repeat eligibility, and share-safe payloads.",Ticket lookup API,"Unknown and unauthorized codes return safe, explicit responses.",S8-04,Backend Engineer,5,High,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-05,Mobile,My Bets,"Build filter tabs, ticket cards, pagination, refresh, and status summaries.",My Bets screens,Open and historical tickets update after placement and settlement.,S10-01,Mobile Engineer,8,Critical,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-06,Mobile,Ticket detail,"Reproduce ticket type, event, odds, stake, bonus, fee, tax, loyalty, and payout detail from the video.",Ticket detail screen,All calculation fields match the immutable placement snapshot.,S10-01,Mobile Engineer,8,Critical,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-07,Mobile,Lookup and actions,"Build ticket-code lookup, repeat ticket, copy/share, and cash-out confirmation.",Ticket action flows,Eligible actions succeed and all ineligible states explain why.,"S10-03,S10-04,S7-04",Mobile Engineer,8,High,Not Started
Sprint 10,2 weeks,"My Bets, ticket lookup, settlement, and cash-out","Complete the ticket lifecycle from placement to settlement, history, lookup, repeat, and simulated cash-out.","Users can find any seeded/placed ticket, view the full recording-style breakdown, receive settlement credits, repeat eligible tickets, and simulate cash-out.",S10-08,QA,Ticket lifecycle tests,"Verify every ticket status, payout, ledger entry, lookup result, repeat, and cash-out race.",Lifecycle test suite,End-to-end tickets reconcile from selection through final wallet balance.,"S10-02,S10-07",QA Engineer,8,Critical,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-01,Data,Community models,"Implement public aliases, community tickets, inspiration counts, follows, and leaderboard snapshots.",Community collections,No private profile information appears in public payloads.,"S3-05,S8-04",Backend Engineer,5,High,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-02,Backend,Arena API,"Implement feed, filters, leaderboards, profiles, like/save, and copyable-ticket endpoints.",Arena endpoints,Feed is paginated and engagement actions are idempotent.,S11-01,Backend Engineer,8,High,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-03,Backend,Copy validation,Reprice and validate copied tickets before adding eligible selections to a new slip.,Copy-ticket service,Unavailable legs are reported individually and never silently copied.,"S11-02,S7-03",Backend Engineer,5,Critical,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-04,Backend,Swipe feed,"Generate personalized dummy event-card feed with reject, accept, and undo state.",Swipe API,Feed excludes rejected items and maintains deterministic ordering for tests.,"S4-03,S4-05",Backend Engineer,5,High,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-05,Mobile,Arena,"Build community feed, ticket cards, profiles, filters, inspiration actions, and leaderboard.",Arena screens,Users can inspect and copy a community ticket into their slip.,"S11-02,S11-03",Mobile Engineer,8,High,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-06,Mobile,Swipe & Bet,"Build gesture cards, outcome choice, undo, progress, and add-to-slip summary.",Swipe experience,Gestures and accessible buttons provide equivalent functionality.,"S11-04,S7-04",Mobile Engineer,8,High,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-07,Data,Community seeds,"Seed aliases, ticket histories, leaderboard positions, likes, and swipe candidates.",Community dataset,Arena and Swipe screens are populated after a clean reset.,"S11-01,S11-04",Backend Engineer,5,Medium,Not Started
Sprint 11,2 weeks,"Community Arena, shared tickets, and Swipe & Bet",Add social inspiration and rapid discovery flows while keeping all engagement and balances fictional.,"Users can browse community tickets, like/save/copy them, view leaderboards, and use Swipe & Bet to construct a validated slip.",S11-08,QA,Community tests,"Test privacy boundaries, copy repricing, duplicate likes, gestures, undo, and parity.",Community acceptance suite,Social flows work without exposing real personal or monetary data.,"S11-05,S11-06",QA Engineer,5,High,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-01,Data,Content models,"Implement promotions, eligibility, articles, categories, results, standings, bookmarks, and notification records.",Content collections,"Collections include publish windows, localization fields, and required indexes.",S2-03,Backend Engineer,8,High,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-02,Backend,Promotions,"Implement promotion list/detail/activation, boosted-offer links, and dummy bonus grants.",Promotion API,Activation is idempotent and clearly distinguishes demo bonus from cash.,"S12-01,S8-02",Backend Engineer,8,High,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-03,Backend,Editorial content,"Implement news/analysis feeds, details, categories, search, bookmarks, and sharing metadata.",Content API,Published content is paginated and sanitized.,"S12-01,S4-04",Backend Engineer,5,Medium,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-04,Backend,Results and statistics,"Expose date/sport results, standings, form, head-to-head, and event statistics.",Results API,Completed events reconcile with settlement results.,"S12-01,S10-02",Backend Engineer,8,High,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-05,Backend,Notifications,"Create in-app notification preferences, inbox, read state, and simulator triggers.",Notification API,Users receive only enabled categories and can mark items read.,"S3-05,S9-02",Backend Engineer,5,High,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-06,Mobile,Promotions and content,"Build promotions, news feed/detail, categories, activation, bookmarks, and share actions.",Content screens,All content states and deep links work on both platforms.,"S12-02,S12-03",Mobile Engineer,8,High,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-07,Mobile,Results and notifications,"Build results calendar, standings/statistics, notification inbox, badge, and preferences.",Results and inbox screens,Settlement-linked results and unread counts stay synchronized.,"S12-04,S12-05",Mobile Engineer,8,High,Not Started
Sprint 12,2 weeks,"Promotions, news, results, statistics, and notifications",Complete the information and promotional modules surrounding the sportsbook experience.,"Users can browse and activate dummy promotions, read content, inspect results/statistics, bookmark items, and receive preference-controlled notifications.",S12-08,QA,Content tests,"Test publish windows, activation, bookmarking, result consistency, deep links, and notification preferences.",Content acceptance suite,All modules remain deterministic after reset and reseed.,"S12-06,S12-07",QA Engineer,5,High,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-01,Data,Gaming catalogue,"Implement provider, game, category, favorite, recent play, virtual schedule, and lotto draw models.",Gaming collections,"Seedable catalogues support availability, maintenance, and featured ordering.","S2-03,S3-03",Backend Engineer,8,High,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-02,Backend,Casino APIs,"Expose casino/live-casino lobbies, categories, search, favorites, recent plays, and launch sessions.",Casino API,Launch tokens reference only internal demo modules and expire safely.,S13-01,Backend Engineer,8,High,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-03,Backend,Virtual and lotto APIs,"Expose simulated schedules, results, picks, tickets, draws, and non-cash reward outcomes.",Virtual/lotto API,All results are deterministic or server-seeded and marked Demo.,S13-01,Backend Engineer,8,High,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-04,Mobile,Casino lobby,"Build featured, categories, providers, search, favorites, recent, and game detail/launch screens.",Casino screens,Lobby mirrors the recording's full-screen launch and return behavior.,S13-02,Mobile Engineer,8,High,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-05,Mobile,Demo games,Build representative slot-style and live-table-style non-cash demo experiences with loading and exit controls.,Demo game modules,"Games cannot deposit, withdraw, or represent real winnings.","S13-02,S3-01",Mobile Engineer,13,High,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-06,Mobile,Virtual sports,"Build event schedule, simulated playback/status, markets, results, and optional demo-slip selection.",Virtual sports screens,Scheduled state transitions come from the backend simulator.,"S13-03,S7-04",Mobile Engineer,8,Medium,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-07,Mobile,Lotto,"Build draws, number selection, dummy ticket, history, and result reveal.",Lotto screens,Tickets use demo balance or free mode and clearly display Demo status.,"S13-03,S8-02",Mobile Engineer,8,Medium,Not Started
Sprint 13,2 weeks,"Casino, live casino, virtual sports, and lotto demos","Represent every secondary gaming module visible in the website/video using safe, non-monetary dummy experiences.","Each lobby, search, favorite, recent item, loading/exit state, and at least one representative demo experience works without real providers or payments.",S13-08,QA,Gaming safety tests,"Test launch expiry, navigation recovery, no-payment guarantees, deterministic results, and parity.",Gaming acceptance suite,"No external provider, real wager, or financial data path exists.","S13-04,S13-07",QA Engineer,8,Critical,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-01,Backend,Responsible play,"Implement demo limits, cool-off, self-exclusion, reminders, and session-duration policies.",Responsible-play API,Active restrictions are enforced by wallet and bet-placement services.,"S8-02,S8-03",Backend Engineer,8,Critical,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-02,Mobile,Responsible play,"Build limits, cool-off, self-exclusion, session reminder, and responsible-play information.",Responsible-play screens,Consequential changes require clear confirmation and immediately affect demo actions.,S14-01,Mobile Engineer,8,Critical,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-03,Shared,Localization,"Externalize strings, dates, currencies, sports labels, errors, and accessibility text.",Localization framework,Croatian and English translations cover all implemented screens.,S3-01,Full-stack Engineer,8,High,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-04,Mobile,Language and formatting,"Implement runtime language switching and locale-correct date, number, and currency display.",Localized app,Language changes without reinstall and persists per account.,"S14-03,S3-05",Mobile Engineer,5,High,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-05,Backend,Help and legal,"Provide versioned FAQ, contact, privacy, terms, rules, cookie information, and shop-directory dummy content.",Help content API,Content supports localization and offline cache metadata.,"S12-01,S14-03",Backend Engineer,5,Medium,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-06,Mobile,Help center,"Build FAQ search, help topics, contact form simulation, legal pages, and responsible-play links.",Help screens,All reference navigation links are represented without external submission.,S14-05,Mobile Engineer,5,Medium,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-07,Mobile,Native notifications,"Configure Expo notifications, permissions, deep links, foreground banners, and local demo scheduling.",Notification integration,"Android and iOS route notifications to the correct event, ticket, or promotion.",S12-05,Mobile Engineer,8,High,Not Started
Sprint 14,2 weeks,"Responsible play, localization, help, and platform services","Complete account safeguards, support content, localization readiness, and native notification behavior.","Responsible-play controls affect demo behavior, Croatian and English UI are complete, help/legal content is reachable, and notifications/deep links work on both platforms.",S14-08,QA,Policy and localization tests,"Verify restriction enforcement, language coverage, formatting, links, permissions, and notification routes.",Platform-services suite,No restricted action bypasses backend policy and key screens have no missing translations.,"S14-02,S14-07",QA Engineer,8,Critical,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-01,Mobile,Accessibility,"Audit semantics, screen reader order, dynamic type, contrast, focus, reduced motion, and touch targets.",Accessible mobile app,Critical journeys pass TalkBack and VoiceOver checks.,"S3-01,S14-04",Accessibility Engineer,8,Critical,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-02,Mobile,Offline and resilience,"Cache read-only data, show freshness, queue safe preferences, retry idempotent requests, and recover sessions.",Resilient client,No bet or wallet mutation is silently queued or duplicated offline.,"S8-03,S9-06",Mobile Engineer,8,Critical,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-03,Performance,Mobile optimization,"Profile cold start, list scrolling, image memory, navigation, animations, and app size.",Mobile performance report,Agreed budgets pass on lower-tier Android and supported iPhone devices.,"S5-07,S13-05",Performance Engineer,8,High,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-04,Backend,API performance,"Add compound indexes, query projections, caching policy, pagination limits, and load tests.",API performance report,"P95 targets pass for offer, event, slip, ticket, and live endpoints.","S9-07,S10-01",Backend Engineer,8,High,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-05,Security,Application security,"Review auth, authorization, input validation, rate limits, secrets, logs, dependencies, and abuse cases.",Security review,No critical/high finding remains; medium findings have owners and dates.,S14-01,Security Engineer,8,Critical,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-06,Backend,Data integrity,"Add reconciliation jobs for wallets/tickets, schema validation, backup/restore, and seed reset verification.",Integrity controls,Automated checks detect ledger imbalance and invalid ticket references.,"S10-02,S13-03",Backend Engineer,8,Critical,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-07,Observability,Monitoring,"Add API/mobile error reporting, latency metrics, WebSocket health, structured events, and alert thresholds.",Operational dashboard specification,Critical failures and performance regressions are observable in test/staging.,"S2-07,S9-02",DevOps Engineer,5,High,Not Started
Sprint 15,2 weeks,"Performance, accessibility, resilience, and security",Harden the complete system for realistic demo use on diverse devices and unreliable networks.,"Performance budgets, accessibility checks, security review, offline recovery, observability, and failure-state tests pass without critical findings.",S15-08,QA,Non-functional regression,"Run accessibility, offline, load, soak, security, crash-recovery, and low-storage tests.",Hardening report,All release-blocking non-functional defects are closed.,"S15-01,S15-07",QA Engineer,8,Critical,Not Started
Sprint 16,2 weeks,"Release candidate, cross-platform parity, and handover","Produce stable Android and iOS release candidates with complete documentation, seeded environments, and verified feature parity.","Both release candidates pass the same end-to-end suite, critical defects are closed, setup/reseed/deploy/runbooks are verified by a new developer, and stakeholders approve the demo.",S16-01,QA,Full regression,Execute every functional journey across the supported Android/iOS device matrix.,Regression report,All Critical and High cases pass; lower-severity exceptions are documented.,S15-08,QA Engineer,13,Critical,Not Started
Sprint 16,2 weeks,"Release candidate, cross-platform parity, and handover","Produce stable Android and iOS release candidates with complete documentation, seeded environments, and verified feature parity.","Both release candidates pass the same end-to-end suite, critical defects are closed, setup/reseed/deploy/runbooks are verified by a new developer, and stakeholders approve the demo.",S16-02,QA,Visual parity,"Compare approved designs and reference behavior across themes, screen sizes, and platforms.",Visual parity report,"No material hierarchy, spacing, truncation, or platform inconsistency remains.",S16-01,Product Designer,8,Critical,Not Started
Sprint 16,2 weeks,"Release candidate, cross-platform parity, and handover","Produce stable Android and iOS release candidates with complete documentation, seeded environments, and verified feature parity.","Both release candidates pass the same end-to-end suite, critical defects are closed, setup/reseed/deploy/runbooks are verified by a new developer, and stakeholders approve the demo.",S16-03,DevOps,Staging deployment,"Deploy API and MongoDB replica set, run seeds, configure secrets, TLS, backups, and health checks.",Staging environment,Environment can be recreated from documented infrastructure and seed commands.,"S15-04,S15-07",DevOps Engineer,8,Critical,Not Started
Sprint 16,2 weeks,"Release candidate, cross-platform parity, and handover","Produce stable Android and iOS release candidates with complete documentation, seeded environments, and verified feature parity.","Both release candidates pass the same end-to-end suite, critical defects are closed, setup/reseed/deploy/runbooks are verified by a new developer, and stakeholders approve the demo.",S16-04,Mobile,Release builds,Create signed internal Android and iOS builds with environment-safe configuration and versioning.,Android/iOS release candidates,"Builds install, upgrade, restore session, and connect to staging.",S16-03,Mobile Engineer,8,Critical,Not Started
Sprint 16,2 weeks,"Release candidate, cross-platform parity, and handover","Produce stable Android and iOS release candidates with complete documentation, seeded environments, and verified feature parity.","Both release candidates pass the same end-to-end suite, critical defects are closed, setup/reseed/deploy/runbooks are verified by a new developer, and stakeholders approve the demo.",S16-05,Documentation,Developer handover,"Document architecture, setup, testing, seeding, live simulator, admin controls, deployment, and troubleshooting.",Technical handbook,A new developer can run the full stack and execute a core journey without assistance.,S16-03,Tech Lead,8,High,Not Started
